Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.02,S,0.02,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.03,S,0.03,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.04,S,0.04,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.05,S,0.05,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.05999999,S,0.05999999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.06999999,S,0.06999999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.07999999,S,0.07999999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.08999999,S,0.08999999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.11,S,0.11,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.12,S,0.12,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.13,S,0.13,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.14,S,0.14,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.15,S,0.15,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.16,S,0.16,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.17,S,0.17,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.18,S,0.18,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.19,S,0.19,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.2,S,0.2,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.21,S,0.21,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.22,S,0.22,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.23,S,0.23,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.24,S,0.24,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.25,S,0.25,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.26,S,0.26,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.27,S,0.27,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.28,S,0.28,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.29,S,0.29,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.3,S,0.3,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.31,S,0.31,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.32,S,0.32,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.33,S,0.33,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.3399999,S,0.3399999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.3499999,S,0.3499999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.3599999,S,0.3599999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.3699999,S,0.3699999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.3799999,S,0.3799999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.3899999,S,0.3899999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.3999999,S,0.3999999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.4099999,S,0.4099999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.4199999,S,0.4199999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.4299999,S,0.4299999,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.4399998,S,0.4399998,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.4499998,S,0.4499998,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.4599998,S,0.4599998,0.010,0,0.9406621,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
