Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,Yaw Pos,Pitch Pos,Drag Force,Side Force,Lift Force,Roll Moment,Pitch Moment,Yaw Moment,Valve Position,cDAQ1Mod2/ai1,cDAQ1Mod2/ai10,cDAQ1Mod2/ai11,cDAQ1Mod2/ai12,cDAQ1Mod2/ai13,N1,N2,S1,S2,RM,AF
Type,USC / SI,Time,fps / m/s,PSI / Pascals,°F / °C,% / %,PSI / Pascals,PSI / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,Deg / Deg,Deg / Deg,lbf / N,lbf / N,lbf / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,% / %, / , / , / , / , / ,mV / mV,mV / mV,mV / mV,mV / mV,mV / mV,mV / mV
Mult,USC,220307 02:20:58.176031,   49.714913,   14.570060,   71.324101,   54.965615,    0.019650,   -0.000200,  278.274545,   13.917000,    3.084346,    0.660000,   74.000000,    0.000000,   -3.999873,   -0.048173,   -0.042082,   -0.785078,   -0.171350,    5.269530,    0.067614,   -2.836860,    1.035187,   -0.000000,    0.000000,    0.000002,   -0.000002,    0.000010,    0.000010,    0.000010,    0.000009,    0.000010,    0.000010
Mult,USC,220307 02:20:58.276031,   49.992527,   14.570070,   71.325085,   54.987431,    0.019870,   -0.000200,  278.452167,   13.923000,    2.950244,    0.750000,   74.000000,    0.000000,   -3.999914,   -0.051758,   -0.038811,   -0.786789,   -0.171880,    5.288470,    0.058763,   -2.695653,    1.037111,   -0.000000,   -0.000000,    0.000002,   -0.000002,    0.000010,    0.000010,    0.000010,    0.000009,    0.000010,    0.000010
Mult,USC,220307 02:20:58.376030,   49.711569,   14.570060,   71.262577,   54.890620,    0.019650,   -0.000210,  278.511374,   13.926000,    3.084346,    0.980000,   74.000000,    0.000000,   -3.999955,   -0.052500,   -0.039606,   -0.785325,   -0.185745,    5.272047,    0.048134,   -2.992818,    1.032389,    0.000000,   -0.000000,   -0.000003,    0.000000,    0.000010,    0.000010,    0.000009,    0.000010,    0.000010,    0.000010
Mult,USC,220307 02:20:58.476030,   49.926339,   14.570090,   71.264359,   54.955417,    0.019820,   -0.000210,  278.688996,   13.932000,    3.084346,    0.490000,   74.000000,    0.000000,   -3.999989,   -0.051171,   -0.040537,   -0.783415,   -0.203655,    5.303365,    0.025352,   -3.204915,    1.038908,    0.000000,    0.000000,   -0.000002,   -0.000002,    0.000010,    0.000010,    0.000011,    0.000010,    0.000010,    0.000010
Mult,USC,220307 02:20:58.576030,   50.252314,   14.570090,   71.259497,   54.883658,    0.020080,   -0.000210,  278.807411,   13.938000,    2.950244,    0.620000,   74.000000,    0.000000,   -4.000021,   -0.052831,   -0.047531,   -0.775662,   -0.198631,    5.264999,    0.048760,   -3.235496,    1.040798,    0.000001,   -0.000000,   -0.000003,   -0.000000,    0.000009,    0.000010,    0.000010,    0.000010,    0.000010,    0.000010
Mult,USC,220307 02:20:58.676030,   49.893735,   14.570100,   71.366450,   54.931226,    0.019790,   -0.000210,  278.925826,   13.944000,    2.950244,    0.610000,   74.000000,    0.000000,   -4.000051,   -0.052539,   -0.048001,   -0.793572,   -0.180603,    5.294320,    0.092213,   -3.324696,    1.037096,   -0.000000,   -0.000000,    0.000002,    0.000001,    0.000010,    0.000010,    0.000010,    0.000010,    0.000010,    0.000010
Mult,USC,220307 02:20:58.776030,   50.127366,   14.570130,   71.267837,   54.873460,    0.019980,   -0.000220,  278.985033,   13.950000,    2.816142,    0.000000,   74.000000,    0.000000,   -4.000077,   -0.047490,   -0.041583,   -0.783959,   -0.187264,    5.263682,    0.064256,   -3.430872,    1.037458,   -0.000000,   -0.000000,   -0.000003,    0.000003,    0.000010,    0.000010,    0.000010,    0.000010,    0.000010,    0.000010
Mult,USC,220307 02:20:58.876030,   49.838642,   14.570170,   71.276261,   54.984311,    0.019750,   -0.000220,  279.044241,   13.950000,    2.682040,    0.180000,   74.000000,    0.000000,   -4.000101,   -0.050805,   -0.039040,   -0.785461,   -0.193217,    5.294801,    0.013101,   -3.384841,    1.034481,    0.000000,    0.000000,   -0.000001,   -0.000002,    0.000010,    0.000010,    0.000011,    0.000010,    0.000010,    0.000010
Mult,USC,220307 02:20:58.976030,   50.302672,   14.570120,   71.262640,   54.973973,    0.020120,   -0.000220,  279.103448,   13.953000,    2.682040,    0.030000,   74.000000,    0.000000,   -4.000118,   -0.048498,   -0.044593,   -0.794480,   -0.215782,    5.307764,    0.011186,   -3.429346,    1.037258,    0.000000,    0.000000,   -0.000001,   -0.000003,    0.000010,    0.000011,    0.000011,    0.000010,    0.000010,    0.000010
