Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,63.3,0,0,116,124.2635,1.967488,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,B,0.010,0.010,0,0.9406621,0,187.7394,63.3,0,0,115.973,124.2635,1.973908,63.2498040018372,63.2498040016179,0.000166545950293556,0.632498000002193,0.632498,0.00000166546,89.9999,89.9999,0.00316249,0.0000000083273
0.02,B,0.02,0.010,0,0.9406621,0,375.4788,63.2952,0.00004181915,0,115.9461,124.2635,1.980328,158.68806530877,158.68806530842,0.00033311713392529,2.21937800000562,2.219378,0.000004996632,89.9999,89.9999,0.01742187,0.00000004163776
0.03,B,0.03,0.010,0,0.940662,0,563.2181,63.28078,0.0005148955,0,115.9191,124.2635,1.986747,254.184076197749,254.184076197258,0.000499789111708709,4.76121900001049,4.761219,0.000009994523,89.9999,89.9999,0.05232485,0.0000001165935
0.04,B,0.04,0.010,0,0.9406618,0,614.9467,63.25677,0.002369695,0,115.8922,124.2635,1.993167,280.602327075016,280.602327074485,0.000545897656552878,7.56724200001578,7.567242,0.0000154535,89.9999,89.9999,0.1139672,0.0000002438337
0.05,B,0.05,0.010,0,0.9406614,0,608.3849,63.22558,0.005985914,0,115.8652,124.2635,1.999587,277.415653856974,277.415653856448,0.000540335863471323,10.341400000021,10.3414,0.00002085686,89.9999,89.9999,0.2035104,0.0000004253855
0.05999999,B,0.05999999,0.010,0,0.940661,0,601.8232,63.19427,0.01117925,0,115.8382,124.2635,2.006006,274.225573024786,274.225573024265,0.000534768120126816,13.0836600000262,13.08366,0.00002620454,89.9999,89.9999,0.3206356,0.0000006606924
0.06999999,B,0.06999999,0.01155319,0,0.9582772,0,595.2614,63.16331,0.01822927,0,115.8113,124.2635,2.012426,271.029781867263,271.029781866746,0.000529190412169728,15.7939600000314,15.79396,0.00003149644,89.9999,89.9999,0.4650238,0.0000009491973
0.07999999,B,0.07999999,0.01394645,0,0.9745377,0,588.6996,63.13268,0.0270146,0,115.7843,124.2635,2.018846,267.828384506076,267.828384505564,0.00052360292132929,18.4722400000365,18.47224,0.00003673247,89.9999,89.9999,0.6363547,0.000001290342
0.08999999,B,0.08999999,0.01631145,0,0.9832342,0,582.1379,63.10238,0.03728311,0,115.7573,124.2635,2.025266,264.621536038725,264.621536038218,0.00051800591489115,21.1184600000416,21.11846,0.00004191253,89.9999,89.9999,0.8343083,0.000001683567
0.09999999,B,0.09999999,0.01864814,0,0.9877665,0,575.5761,63.07242,0.04895449,0,115.7304,124.2635,2.031685,261.409336950031,261.409336949529,0.00051239957164681,23.7325500000466,23.73255,0.00004703653,89.9999,89.9999,1.058563,0.000002128312
0.11,B,0.11,0.02095647,0,0.9898555,0,569.0143,63.04279,0.06195437,0,115.7034,124.2635,2.038105,258.191852868964,258.191852868467,0.000506784002726605,26.3144700000516,26.31447,0.00005210437,89.9999,89.9999,1.308798,0.000002624017
0.12,B,0.12,0.02323639,0,0.9904467,0,562.4526,63.0135,0.07621298,0,115.6764,124.2635,2.044525,254.969163663134,254.969163662641,0.000501159347523514,28.8641600000565,28.86416,0.00005711596,89.9999,89.9999,1.584692,0.000003170118
0.13,B,0.13,0.02548786,0,0.9900929,0,555.8908,62.98455,0.09166411,0,115.6495,124.2635,2.050944,251.741363025636,251.741363025148,0.000495525772980098,31.3815700000614,31.38157,0.00006207122,89.9999,89.9999,1.88592,0.000003766054
0.14,B,0.14,0.02771083,0,0.9891324,0,549.329,62.95593,0.1082445,0,115.6225,124.2635,2.057364,248.508512422784,248.508512422301,0.000489883382956714,33.8666600000662,33.86666,0.00006697006,89.9999,89.9999,2.212161,0.000004411261
